CAV Percentage,Facility Type,Intervehicle Gap,Max Platoon,CAV Interplatoon Gap,Base Capacity,CAF
0,Freeway,0.71,10,2,2400,1.00
20,Freeway,0.71,10,2,2400,1.02
40,Freeway,0.71,10,2,2400,1.07
60,Freeway,0.71,10,2,2400,1.13
80,Freeway,0.71,10,2,2400,1.22
100,Freeway,0.71,10,2,2400,1.35
0,Freeway,0.71,10,2,2100,1.00
20,Freeway,0.71,10,2,2100,1.02
40,Freeway,0.71,10,2,2100,1.10
60,Freeway,0.71,10,2,2100,1.25
80,Freeway,0.71,10,2,2100,1.37
100,Freeway,0.71,10,2,2100,1.53
0,Freeway,0.71,10,2,1800,1.00
20,Freeway,0.71,10,2,1800,1.15
40,Freeway,0.71,10,2,1800,1.27
60,Freeway,0.71,10,2,1800,1.40
80,Freeway,0.71,10,2,1800,1.60
90,Freeway,0.71,10,2,1800,1.71
100,Freeway,0.71,10,2,1800,1.82
0,Diverge,0.71,10,2,2400,1.00
20,Diverge,0.71,10,2,2400,1.02
40,Diverge,0.71,10,2,2400,1.07
60,Diverge,0.71,10,2,2400,1.13
80,Diverge,0.71,10,2,2400,1.22
100,Diverge,0.71,10,2,2400,1.35
0,Diverge,0.71,10,2,2100,1.00
20,Diverge,0.71,10,2,2100,1.02
40,Diverge,0.71,10,2,2100,1.10
60,Diverge,0.71,10,2,2100,1.25
80,Diverge,0.71,10,2,2100,1.37
100,Diverge,0.71,10,2,2100,1.53
0,Diverge,0.71,10,2,1800,1.00
20,Diverge,0.71,10,2,1800,1.15
40,Diverge,0.71,10,2,1800,1.27
60,Diverge,0.71,10,2,1800,1.40
80,Diverge,0.71,10,2,1800,1.60
100,Diverge,0.71,10,2,1800,1.82
0,Merge,0.71,10,2,2200,1.00
20,Merge,0.71,10,2,2200,1.02
40,Merge,0.71,10,2,2200,1.07
60,Merge,0.71,10,2,2200,1.16
80,Merge,0.71,10,2,2200,1.33
100,Merge,0.71,10,2,2200,1.49
