"","Facility Type","Base Capacity","CAV Percentage","CAF","AV Market Adjusted Capacity","Passenger Car Equivalent","AV Market and Vehicle Size Adjusted Capacity"
"1","Freeway",2400,50,1.1,2640,0.8,3300
"2","Merge",1800,50,1.12,2016,0.9,2240
"3","Diverge",1900,50,1.28666666666667,2445,0.9,2717
"4","Freeway",1700,40,1.27,2159,0.8,2699
"5","Merge",2300,40,1.07,2461,0.9,2734
"6","Diverge",2350,30,1.05166666666667,2471,0.9,2746
"7","Freeway",2250,20,1.02,2295,0.8,2869
"8","Freeway",1790,20,1.15,2058,0.8,2572
"9","Freeway",1650,10,1.08,1782,0.8,2228
"10","Freeway",1250,10,1.08,1350,0.8,1688
"11","Freeway",1350,20,1.15,1552,0.8,1940
"12","Freeway",1775,50,1.34,2378,0.8,2972
"13","Freeway",1335,20,1.15,1535,0.8,1919
"14","Freeway",1850,20,1.12833333333333,2087,0.8,2609
"15","Freeway",1650,10,1.08,1782,0.8,2228
"16","Freeway",1550,0,1,1550,0.8,1938
"17","Freeway",1450,10,1.08,1566,0.8,1958
"18","Freeway",1200,20,1.15,1380,0.8,1725
"19","Freeway",1550,40,1.27,1968,0.8,2460
"20","Freeway",1300,30,1.21,1573,0.8,1966
"21","Freeway",1250,20,1.15,1438,0.8,1798
"22","Freeway",1100,20,1.15,1265,0.8,1581
"23","Freeway",1250,20,1.15,1438,0.8,1798
"24","Freeway",1750,20,1.15,2012,0.8,2515
"25","Freeway",1950,0,1,1950,0.8,2438
"26","Freeway",2250,0,1,2250,0.8,2812
"27","Freeway",2350,30,1.05166666666667,2471,0.8,3089
"28","Freeway",2450,40,1.07,2622,0.8,3278
