CAV Percentage,ZOV Percent,Facility Type,Intervehicle Gap,Max Platoon,CAV Interplatoon Gap,Base Capacity,ADJ CAF
0,0,Freeway,0.71,10,2,2400,0.95
10,0,Freeway,0.71,10,2,2400,0.96
20,0,Freeway,0.71,10,2,2400,0.97
30,0,Freeway,0.71,10,2,2400,1
40,0,Freeway,0.71,10,2,2400,1.02
50,0,Freeway,0.71,10,2,2400,1.05
60,0,Freeway,0.71,10,2,2400,1.07
70,0,Freeway,0.71,10,2,2400,1.12
80,0,Freeway,0.71,10,2,2400,1.16
90,0,Freeway,0.71,10,2,2400,1.23
100,0,Freeway,0.71,10,2,2400,1.28
0,0,Freeway,0.71,10,2,2100,0.95
10,0,Freeway,0.71,10,2,2100,0.96
20,0,Freeway,0.71,10,2,2100,0.97
30,0,Freeway,0.71,10,2,2100,1.01
40,0,Freeway,0.71,10,2,2100,1.05
50,0,Freeway,0.71,10,2,2100,1.12
60,0,Freeway,0.71,10,2,2100,1.19
70,0,Freeway,0.71,10,2,2100,1.24
80,0,Freeway,0.71,10,2,2100,1.3
90,0,Freeway,0.71,10,2,2100,1.38
100,0,Freeway,0.71,10,2,2100,1.45
0,0,Freeway,0.71,10,2,1800,0.95
10,0,Freeway,0.71,10,2,1800,1.03
20,0,Freeway,0.71,10,2,1800,1.09
30,0,Freeway,0.71,10,2,1800,1.15
40,0,Freeway,0.71,10,2,1800,1.21
50,0,Freeway,0.71,10,2,1800,1.27
60,0,Freeway,0.71,10,2,1800,1.33
70,0,Freeway,0.71,10,2,1800,1.43
80,0,Freeway,0.71,10,2,1800,1.52
90,0,Freeway,0.71,10,2,1800,1.62
100,0,Freeway,0.71,10,2,1800,1.73
0,0,Diverge,0.71,10,2,2400,0.95
10,0,Diverge,0.71,10,2,2400,0.96
20,0,Diverge,0.71,10,2,2400,0.97
30,0,Diverge,0.71,10,2,2400,1
40,0,Diverge,0.71,10,2,2400,1.02
50,0,Diverge,0.71,10,2,2400,1.05
