Facility Type,Percent ZOV,Intervehicle Gap,Max Platoon,CAV Interplatoon Gap
Freeway,0,0.71,10,2
Freeway,10,0.71,10,2
Freeway,20,0.71,10,2
Freeway,30,0.71,10,2
Freeway,40,0.71,10,2
Freeway,50,0.71,10,2
Freeway,60,0.71,10,2
Freeway,70,0.71,10,2
Freeway,80,0.71,10,2
Freeway,90,0.71,10,2
Freeway,100,0.71,10,2
Diverge,0,0.71,10,2
Diverge,10,0.71,10,2
Diverge,20,0.71,10,2
Diverge,30,0.71,10,2
Diverge,40,0.71,10,2
Diverge,50,0.71,10,2
Diverge,60,0.71,10,2
Diverge,70,0.71,10,2
Diverge,80,0.71,10,2
Diverge,90,0.71,10,2
Diverge,100,0.71,10,2
Merge,0,0.71,10,2
Merge,10,0.71,10,2
Merge,20,0.71,10,2
Merge,30,0.71,10,2
Merge,40,0.71,10,2
Merge,50,0.71,10,2
Merge,60,0.71,10,2
Merge,70,0.71,10,2
Merge,80,0.71,10,2
Merge,90,0.71,10,2
Merge,100,0.71,10,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Weave,10,0.71,10,2
