"","Facility Type","Base Capacity","CAV Percentage","CAF","AV Market Penetration Adjusted Capacity","PCE","AV Market Penetration and PCE Adjusted Capacity","ZOV Percentage","ZOV CAF","ZOV and AV Market Penetration Adjusted Capacity","ZOV, PCE, and AV Market Penetration Adjusted Capacity"
"1","Freeway",2200,30,1.05666666666667,2325,0.8,2906,10,1.00666666666667,2215,2769
"2","Freeway",2200,30,1.05666666666667,2325,0.8,2906,0,1.00666666666667,2215,2769
"3","Freeway",2200,30,1.05666666666667,2325,0.8,2906,20,1.00666666666667,2215,2769
"4","Freeway",2200,30,1.05666666666667,2325,0.8,2906,30,1.00666666666667,2215,2769
"5","Freeway",2200,30,1.05666666666667,2325,0.8,2906,40,1.10666666666667,2435,3044
"6","Freeway",2200,30,1.05666666666667,2325,0.8,2906,50,1.10666666666667,2435,3044
"7","Freeway",2200,30,1.05666666666667,2325,0.8,2906,60,1.10666666666667,2435,3044
"8","Freeway",2200,30,1.05666666666667,2325,0.8,2906,70,1.10666666666667,2435,3044
"9","Freeway",2200,30,1.05666666666667,2325,0.8,2906,80,1.10666666666667,2435,3044
"10","Freeway",2200,30,1.05666666666667,2325,0.8,2906,90,1.10666666666667,2435,3044
"11","Merge",1800,30,1.05,1890,0.9,2100,10,1,1800,2000
"12","Diverge",1900,30,1.16,2204,0.9,2449,10,1.10333333333333,2096,2329
"13","Freeway",2200,30,1.05666666666667,2325,0.8,2906,10,1.00666666666667,2215,2769
"14","Freeway",2200,30,1.05666666666667,2325,0.8,2906,0,1.00666666666667,2215,2769
"15","Freeway",2200,30,1.05666666666667,2325,0.8,2906,20,1.00666666666667,2215,2769
"16","Freeway",2200,30,1.05666666666667,2325,0.8,2906,30,1.00666666666667,2215,2769
"17","Freeway",2200,30,1.05666666666667,2325,0.8,2906,40,1.10666666666667,2435,3044
"18","Freeway",2200,30,1.05666666666667,2325,0.8,2906,50,1.10666666666667,2435,3044
"19","Freeway",2200,30,1.05666666666667,2325,0.8,2906,60,1.10666666666667,2435,3044
"20","Freeway",2200,30,1.05666666666667,2325,0.8,2906,70,1.10666666666667,2435,3044
"21","Freeway",2200,30,1.05666666666667,2325,0.8,2906,80,1.10666666666667,2435,3044
"22","Freeway",2200,30,1.05666666666667,2325,0.8,2906,90,1.10666666666667,2435,3044
"23","Freeway",2200,30,1.05666666666667,2325,0.8,2906,10,1.00666666666667,2215,2769
"24","Freeway",2200,30,1.05666666666667,2325,0.8,2906,0,1.00666666666667,2215,2769
"25","Freeway",2200,30,1.05666666666667,2325,0.8,2906,20,1.00666666666667,2215,2769
"26","Freeway",2200,30,1.05666666666667,2325,0.8,2906,30,1.00666666666667,2215,2769
"27","Freeway",2200,30,1.05666666666667,2325,0.8,2906,40,1.10666666666667,2435,3044
"28","Freeway",2200,30,1.05666666666667,2325,0.8,2906,50,1.10666666666667,2435,3044
"29","Freeway",2200,30,1.05666666666667,2325,0.8,2906,60,1.10666666666667,2435,3044
"30","Freeway",2200,30,1.05666666666667,2325,0.8,2906,70,1.10666666666667,2435,3044
"31","Freeway",2200,30,1.05666666666667,2325,0.8,2906,80,1.10666666666667,2435,3044
"32","Freeway",2200,30,1.05666666666667,2325,0.8,2906,90,1.10666666666667,2435,3044
"33","Freeway",2200,30,1.05666666666667,2325,0.8,2906,10,1.00666666666667,2215,2769
"34","Freeway",2200,30,1.05666666666667,2325,0.8,2906,0,1.00666666666667,2215,2769
"35","Freeway",2200,30,1.05666666666667,2325,0.8,2906,20,1.00666666666667,2215,2769
"36","Freeway",2200,30,1.05666666666667,2325,0.8,2906,30,1.00666666666667,2215,2769
"37","Freeway",2200,30,1.05666666666667,2325,0.8,2906,40,1.10666666666667,2435,3044
"38","Freeway",2200,30,1.05666666666667,2325,0.8,2906,50,1.10666666666667,2435,3044
"39","Freeway",2200,30,1.05666666666667,2325,0.8,2906,60,1.10666666666667,2435,3044
"40","Freeway",2200,30,1.05666666666667,2325,0.8,2906,70,1.10666666666667,2435,3044
"41","Freeway",2200,30,1.05666666666667,2325,0.8,2906,80,1.10666666666667,2435,3044
"42","Freeway",2200,30,1.05666666666667,2325,0.8,2906,90,1.10666666666667,2435,3044
"43","Freeway",2200,30,1.05666666666667,2325,0.8,2906,10,1.00666666666667,2215,2769
"44","Freeway",2200,30,1.05666666666667,2325,0.8,2906,0,1.00666666666667,2215,2769
"45","Freeway",2200,30,1.05666666666667,2325,0.8,2906,20,1.00666666666667,2215,2769
"46","Freeway",2200,30,1.05666666666667,2325,0.8,2906,30,1.00666666666667,2215,2769
"47","Freeway",2200,30,1.05666666666667,2325,0.8,2906,40,1.10666666666667,2435,3044
"48","Freeway",2200,30,1.05666666666667,2325,0.8,2906,50,1.10666666666667,2435,3044
"49","Freeway",2200,30,1.05666666666667,2325,0.8,2906,60,1.10666666666667,2435,3044
"50","Freeway",2200,30,1.05666666666667,2325,0.8,2906,70,1.10666666666667,2435,3044
"51","Freeway",2200,30,1.05666666666667,2325,0.8,2906,80,1.10666666666667,2435,3044
"52","Freeway",2200,30,1.05666666666667,2325,0.8,2906,90,1.10666666666667,2435,3044
"53","Freeway",2200,30,1.05666666666667,2325,0.8,2906,10,1.00666666666667,2215,2769
"54","Freeway",2200,30,1.05666666666667,2325,0.8,2906,0,1.00666666666667,2215,2769
"55","Freeway",2200,30,1.05666666666667,2325,0.8,2906,20,1.00666666666667,2215,2769
"56","Freeway",2200,30,1.05666666666667,2325,0.8,2906,30,1.00666666666667,2215,2769
"57","Freeway",2200,30,1.05666666666667,2325,0.8,2906,40,1.10666666666667,2435,3044
"58","Freeway",2200,30,1.05666666666667,2325,0.8,2906,50,1.10666666666667,2435,3044
"59","Freeway",2200,30,1.05666666666667,2325,0.8,2906,60,1.10666666666667,2435,3044
"60","Freeway",2200,30,1.05666666666667,2325,0.8,2906,70,1.10666666666667,2435,3044
"61","Freeway",2200,30,1.05666666666667,2325,0.8,2906,80,1.10666666666667,2435,3044
"62","Freeway",2200,30,1.05666666666667,2325,0.8,2906,90,1.10666666666667,2435,3044
"63","Freeway",2200,30,1.05666666666667,2325,0.8,2906,10,1.00666666666667,2215,2769
